"De acordo com o Sebrae, qual é o primeiro passo essencial para quem deseja aumentar a produtividade e o retorno sobre investimentos em um negócio?",O controle das finanças.
Qual é a principal funcionalidade do App Sebrae voltada para a gestão financeira do empreendedor?,O controle de fluxo de caixa e de boletos do MEI.
Qual ferramenta digital é citada como focada em pequenos e médios negócios do varejo físico?,Linx.
Qual é a vantagem da ferramenta Oracle Cloud para a gestão financeira?,"Oferece informações rápidas e organizadas, desde dados contábeis a relatórios estatísticos."
A ferramenta Tiny é especialmente recomendada para qual tipo de negócio?,Lojas virtuais e pequenos/médios negócios que precisam de métricas automáticas.
Como a ferramenta Bling auxilia especificamente os empreendedores de comércio eletrônico?,Integrando o aplicativo a sistemas de logística para entregas mais transparentes.
Qual é a característica distintiva da ferramenta Conta Azul no mercado brasileiro?,Permite a integração com diversos sistemas de pagamento e automação de marketing.
Defina o conceito de 'Liberdade' no contexto do uso de ferramentas digitais de controle financeiro.,A possibilidade de realizar tarefas e verificar relatórios em qualquer lugar via dispositivo móvel.
Como as ferramentas financeiras digitais auxiliam na redução de custos de uma empresa?,Identificando custos exagerados através da análise centralizada e integrada de dados.
O que caracteriza o 'Crédito Verde' para micro e pequenas empresas?,Um instrumento financeiro que conecta capital a práticas de responsabilidade socioambiental (ESG).
"No contexto de finanças sustentáveis, o que significa a sigla ESG?","Meio ambiente (Environmental), Social e Governança (Governance)."
Defina o termo 'Greenwashing' no mercado de crédito.,A prática de dar selos ambientais a projetos que não geram impacto positivo real ou são fraudulentos.
"Qual é o impacto observado no PIB para cada aumento de $1\%$ no volume de crédito verde, segundo estudos citados?","O PIB local cresce $0,482\%$."
Qual é a principal recomendação para evitar o inadimplemento em uma empresa?,"Organizar o fluxo de caixa para visualizar entradas, saídas e saldo disponível."
Por que o empreendedor deve evitar misturar finanças pessoais com as da empresa?,Para garantir a noção exata dos gastos e evitar problemas de fiscalização tributária.
Qual é a finalidade de um fundo de reserva emergencial em um pequeno negócio?,Servir como um 'colchão' financeiro para enfrentar imprevistos sem recorrer a empréstimos.
"Na reforma tributária de 2025, quais tributos federais serão substituídos pela CBS?","PIS, Cofins e IPI."
"Na reforma tributária de 2025, quais tributos serão substituídos pelo IBS (Imposto sobre Bens e Serviços)?",ICMS e ISS.
Qual é o objetivo do novo 'Imposto Seletivo' (IS) na reforma tributária?,Desestimular o consumo de produtos nocivos à saúde ou ao meio ambiente.
Qual é o limite de faturamento anual para a nova categoria de 'Nanoempreendedor' isenta de CBS e IBS?,$R\$ 40.500$.
Até que ano está prevista a transição completa para o novo sistema tributário da reforma de 2025?,2033.
Qual é a vantagem previdenciária da formalização como MEI para a mulher empreendedora?,Acesso ao salário-maternidade.
Quais são as duas ferramentas essenciais citadas para o controle de qualquer empreendimento MEI?,Demonstrativo de Resultados e Fluxo de Caixa.
"Para que um empréstimo empresarial seja sustentável, a parcela não deve ultrapassar qual percentual do lucro líquido esperado?",$25\%$.
Diferencie 'Empréstimo' de 'Financiamento' conforme o material do Sebrae.,"O empréstimo permite uso livre do dinheiro, enquanto o financiamento é para um objetivo específico."
O que é o regime tributário de 'Lucro Presumido'?,Um sistema onde os impostos incidem sobre uma margem de lucro fixa pré-definida pelo governo.
O que é a Tabela NCM e qual sua importância no planejamento tributário?,Nomenclatura Comum do Mercosul; serve para classificar produtos e determinar as alíquotas de impostos.
Defina 'Despesas Fixas' em um contexto empresarial.,"Gastos periódicos que ocorrem todos os meses, independentemente do volume de produção ou vendas."
Dê dois exemplos de 'Despesas Variáveis' em uma empresa.,Comissões de vendas e gastos com combustíveis para entregas.
O que é o 'Pró-labore'?,A remuneração paga aos sócios ou proprietários pelo trabalho realizado na empresa.
Qual é a fórmula básica para calcular o Preço de Venda ($PV$) baseado em custos e margem?,$PV = \frac{\text{Custo Total}}{1 - (\frac{\text{Margem}}{100})}$
O que é a técnica de 'Menu Engineering' no ramo de alimentos e bebidas?,Categorizar pratos de acordo com sua popularidade e lucratividade para otimizar o cardápio.
Defina o conceito de 'Markup' na precificação.,Um índice aplicado sobre o custo de um produto para determinar seu preço de venda ideal.
Qual é a fórmula do Markup Divisor?,$\text{Markup} = \frac{100 - \text{Despesas Total em } \% - \text{Lucro Desejado em } \%}{100}$
O que caracteriza a estratégia de 'Preço de Penetração'?,Praticar um valor mais baixo que a concorrência para introduzir um produto novo no mercado.
"No contexto de educação financeira pessoal, qual deve ser a prioridade antes de começar a investir?",Quitar as dívidas existentes.
Qual é o tamanho recomendado para uma reserva de emergência pessoal segundo o canal 'Primo Pobre'?,O equivalente a 6 meses do seu custo de vida mensal.
Diferencie 'Ativo' de 'Passivo' conforme a educação financeira básica.,Ativos geram renda ou aumentam o patrimônio; passivos geram despesas e saídas de dinheiro.
Qual é a 'Regra de Ouro' para poupar dinheiro mensalmente?,Investir uma parte assim que receber o salário e gastar apenas o que sobrar.
"Segundo o 'Manual da Evolução', qual percentual máximo da renda deve ser comprometido com gastos essenciais/fixos?",Entre $50\%$ e $60\%$.
Como se calcula o 'Patrimônio Líquido' de uma pessoa?,Soma de todos os bens e ativos menos o total de todas as dívidas.
O que é a ENEF (Estratégia Nacional de Educação Financeira)?,Uma política pública permanente para promover a cultura de educação financeira no Brasil.
Quais órgãos compõem o COREMEC no Brasil?,"Banco Central (BCB), CVM, PREVIC e SUSEP."
Qual é a função do CONEF dentro da estrutura da ENEF?,"Responsável pela governança estratégica, definindo planos, programas e coordenando a implementação."
Quem exerce a função de Secretaria-Executiva do CONEF?,O Banco Central do Brasil.
Qual é o papel da AEF-Brasil na ENEF?,Atuar como instância executiva para planejar e administrar as iniciativas transversais da estratégia.
Quais são os três públicos-alvo prioritários da ENEF?,"Crianças, jovens e adultos."
O que são 'Situações Didáticas' no material de educação financeira para escolas?,Atividades que utilizam situações do dia a dia para desenvolver competências financeiras de forma transversal.
Qual foi o principal resultado observado no projeto piloto de Educação Financeira no ensino médio?,"Aumento do conhecimento financeiro, melhoria nas atitudes e mudança real de comportamento de poupança."
O que o portal 'Meu Bolso em Dia' da Febraban oferece como ferramenta gratuita de orçamento?,O software Jimbo.
O que o portal 'Tudo sobre Seguros' da CNSEG busca mitigar no mercado?,A assimetria de informações entre consumidores e seguradoras.
Qual é a orientação para o uso de cartões de crédito em empresas?,Utilizar um cartão exclusivo para a empresa para facilitar a separação e o registro dos gastos.
"Na gestão estratégica de custos, qual a diferença entre 'Planejamento Orçamentário' e 'Fluxo de Caixa'?",O planejamento é uma previsão de gastos; o fluxo de caixa é o registro real de entradas e saídas.
O que são 'Produtos Âncora' em um cardápio de restaurante?,Itens populares com margem baixa que atraem clientes para consumir outros itens com margens maiores.
Qual a principal característica das 'Despesas Fixas' que as diferencia das variáveis?,"A regularidade, independentemente do volume de negócios fechados."
Por que o planejamento orçamentário é considerado um 'guia' para o negócio?,Porque define limites de gastos e norteia a distribuição de recursos para alcançar metas financeiras.
"No contexto de precificação, o que é a 'Elasticidade de Preço'?",A medida de como os clientes reagem (comprando mais ou menos) a alterações nos preços dos produtos.
O que compõe o 'Custo Total' de um prato no ramo alimentício para fins de precificação?,"Ingredientes, despesas operacionais proporcionais e custos indiretos (como embalagens)."
Qual a importância do 'GAP' (Grupo de Apoio Pedagógico) na ENEF?,"Fornecer orientação pedagógica para as ações educacionais, sendo presidido pelo MEC."
Qual o limite de faturamento anual para uma empresa optar pelo regime do Simples Nacional?,"$R\$ 4,8$ milhões."
Qual a principal diferença do 'Lucro Real' em relação aos outros regimes tributários?,"Os impostos incidem sobre o lucro líquido contábil real, permitindo descontar todas as despesas operacionais."
O que é o 'Crédito Consignado' e por que ele é um risco para aposentados?,Empréstimo com desconto direto na folha; o risco é o superendividamento devido à facilidade de acesso.
Qual a vantagem de centralizar dados financeiros em um software ERP na construção civil?,Evitar decisões baseadas em 'achismos' e permitir a identificação de gargalos financeiros.
O que é o 'PNEF' e quem o coordena?,Programa Nacional de Educação Fiscal; coordenado pelo Ministério da Fazenda via ESAF.
Quais são as duas dimensões da Educação Financeira segundo a ENEF?,"Espacial (do individual ao global) e Temporal (passado, presente e futuro)."
O que significa 'Inadimplência' no contexto empresarial?,A condição de não cumprir com o pagamento de obrigações financeiras ou boletos no prazo.
Por que o 'Markup' é considerado uma técnica replicável?,"Porque uma vez encontrado o índice divisor, ele pode ser aplicado rapidamente a vários produtos com a mesma estrutura de custos."
O que é a 'Educação Financeira Transversal' nas escolas?,"Integrar o tema financeiro em diversas disciplinas (Matemática, Português, História) em vez de uma aula isolada."
Qual a recomendação para o valor do Pró-labore em períodos de faturamento instável?,Basear o valor no pior mês de faturamento da empresa para evitar desequilíbrio no caixa.